N°|Nº Expediente|Número de Decreto|Especialista|Contenido|RUC|Razon Social|Fecha de Creación|Hora de Creación|Fecha del Decreto|Fecha De Aprobacion|Hora De Aprobacion|Estado|Ver Decreto|
591|07566-2023-TCE|533646|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:20131366885Impugnate:20556176192|Entidad:INTENDENCIA NACIONAL DE BOMBEROS DEL PERÚ Impugnate:ZEMP FIRE AND RESCUE S.A.C.|08/01/2024|15:12:23|08/01/2024|09/01/2024|08:29:27|APROBADO|533646 Ver...|
592|11412-2023-TCE|533647|Carla Pinedo Prentice|Déjese a consideración de la Sala|Entidad:20188903488Impugnate:20549823565|Entidad:MUNICIPALIDAD PROVINCIAL DE CARHUAZ Impugnate:JC & ED CONSTRUCTORA S.A.C|08/01/2024|15:13:16|08/01/2024|08/01/2024|19:49:49|APROBADO|533647 Ver...|
593|08084-2023-TCE|533648|Angie Solis Zevalles|Tómese conocimiento|Entidad:20288775444POSTOR:10413785117|Entidad:MUNICIPALIDAD DISTRITAL DE POMACOCHA - ANDAHUAYLAS POSTOR:ARANDIA LEGUIA WILFREDO|08/01/2024|15:13:30|08/01/2024|11/01/2024|17:23:03|APROBADO|533648 Ver...|
594|03869-2019-TCE|533649|Diego Martin Romero Ludena|Resolución|Entidad:20131369124POSTOR:20569036748,20604187916|Entidad:EJERCITO PERUANO POSTOR:MARIA MILAGROSA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,MAYAR MEDICA S.A.C.|08/01/2024|15:19:24|08/01/2024|08/01/2024|15:20:39|APROBADO|533649 Ver...|
595|10167-2023-TCE|533650|Isabel Alejandra Melgar Romani|Sobrecártese|Entidad:20165465009Impugnate:20600770935|Entidad:POLICIA NACIONAL DEL PERÚ - DIRECCIÓN DE ECONOMÍA Y FINANZAS Impugnate:CABALLERO DE LA LEY S.A.C.|08/01/2024|15:23:32|08/01/2024|09/01/2024|18:02:07|APROBADO|533650 Ver...|
596|10697-2023-TCE|533651|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:20166604347Impugnate:20227662108|Entidad:MUNICIPALIDAD DISTRITAL DE CAJAY Impugnate:CONSORCIO CYSMA, conformado por las empresas CONSTRUCTORA Y SERVICIOS MULTIPLES CYSMA S.R.L. y COSAVI S.R.L.|08/01/2024|15:27:53|08/01/2024|09/01/2024|18:16:34|APROBADO|533651 Ver...|
597|10103-2023-TCE|533652|Heber Espinoza Boza|Acumulación a otro expediente|Entidad:20100211034POSTOR:20101086322|Entidad:SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA POSTOR:SERVICIOS DE INGENIERIA S.A. S.I.S.A.|08/01/2024|15:30:44|08/01/2024|09/01/2024|15:24:42|APROBADO|533652 Ver...|
598|05198-2022-TCE|533653|Heber Espinoza Boza|Acumulación de expedientes|Entidad:20100211034POSTOR:20101086322|Entidad:SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA POSTOR:SERVICIOS DE INGENIERIA S.A. S.I.S.A.|08/01/2024|15:31:10|08/01/2024|09/01/2024|15:24:48|APROBADO|533653 Ver...|
599|11494-2023-TCE|533654|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20405479592Impugnate:20601439582|Entidad:EMPRESA DE SERVICIOS PUBLICOS DE ELECTRICIDAD PUNO S.A.A. Impugnate:CONSORCIO MEDICIONES Y CALIDAD, conformado por la empresa UNION E Y V INGENIERIA Y CONSTRUCCION S.A.C. y el señor QUISPE|08/01/2024|15:33:19|08/01/2024|08/01/2024|20:05:12|APROBADO|533654 Ver...|
600|01115-2022-TCE|533655|Roberto Cotrina Llamocca|Resolución|Entidad:20541763849POSTOR:20407806299|Entidad:CORTE SUPERIOR DE JUSTICIA DEL SANTA POSTOR:EMPRESA CONSTRUCTORA Y MULTISERVICIOS DJRR E.I.R.L.|08/01/2024|15:36:18|08/01/2024|08/01/2024|15:36:52|APROBADO|533655 Ver...|
601|04886-2018-TCE|533656|Jocelyne Figueroa Chavez|Remisión a sala|Entidad:20453744168POSTOR:10085828130,20600393198|Entidad:GOBIERNO REGIONAL DE CAJAMARCA SEDE CENTRAL POSTOR:FARJE ALVA FERENE,MAXIME CONSULTORES ASOCIADOS S.A.C. - MAXIME S.A.C.|08/01/2024|15:39:09|08/01/2024|09/01/2024|15:35:04|APROBADO|533656 Ver...|
601|04886-2018-TCE|533656|Jocelyne Figueroa Chavez|Remisión a sala|Entidad:20453744168POSTOR:10085828130,20600393198|Entidad:GOBIERNO REGIONAL DE CAJAMARCA SEDE CENTRAL POSTOR:FARJE ALVA FERENE,MAXIME CONSULTORES ASOCIADOS S.A.C. - MAXIME S.A.C.|08/01/2024|15:39:09|08/01/2024|09/01/2024|15:35:04|APROBADO|533656 Ver...|
602|10835-2023-TCE|533657|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:20164091547Impugnate:20482618252|Entidad:MUNICIPALIDAD DISTRITAL DE LA ESPERANZA - TRUJILLO Impugnate:CONSORCIO PROYECTOS DEL NORTE, conformado por las empresas CONSTRUCTORA GRUPO PROYECTOS & EJECUCION DEL NORTE S.A.C. y C|08/01/2024|15:40:10|08/01/2024|09/01/2024|18:16:48|APROBADO|533657 Ver...|
603|01537-2022-TCE|533658|Roberto Cotrina Llamocca|Resolución|Entidad:20314210396POSTOR:20502029178|Entidad:ZONA REGISTRAL N° II SEDE CHICLAYO POSTOR:D & T GLOBAL SERVICE S.R.L.|08/01/2024|15:41:56|08/01/2024|08/01/2024|15:42:18|APROBADO|533658 Ver...|
604|04441-2019-TCE|533659|Carla Pinedo Prentice|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20550734223POSTOR:20602885543|Entidad:CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE POSTOR:APOYO POSTAL S.A.C.|08/01/2024|16:09:55|08/01/2024|||PENDIENTE|533659 Ver...|
605|11660-2023-TCE|533660|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20146045881Impugnate:20544150104|Entidad:GOBIERNO REGIONAL DE HUANUCO - DIRECCIÓN REGIONAL DE SALUD - HUANUCO Impugnate:MEDICAL ISVIL S.A.C.|08/01/2024|16:10:46|08/01/2024|08/01/2024|19:14:43|APROBADO|533660 Ver...|
606|03023-2016-TCE|533661|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:00000000033,002418POSTOR:20509585661,20521610531,99000008733|Entidad:JUAN CARLOS GERÓNIMO DEL PRADO PONCE,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC POSTOR:ADR TECNOLOGY S.A.C.,T - SHIDROMM S.A.C.,IPS METEOSTAR INC|08/01/2024|16:29:33|08/01/2024|09/01/2024|08:37:16|APROBADO|533661 Ver...|
607|00800-2020-TCE|533662|Luz Carolina Santillan Collantes|Remisión a sala - Descargos|Entidad:20254165035POSTOR:20521361990,99000007141|Entidad:OFICINA DE NORMALIZACION PREVISIONAL POSTOR:IT ERA PERU SAC,IT ERA S.A. DE C.V.|08/01/2024|16:30:46|08/01/2024|09/01/2024|16:27:13|APROBADO|533662 Ver...|
608|08204-2022-TCE|533663|Angie Solis Zevalles|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20177689051POSTOR:10454414841|Entidad:UNIVERSIDAD NACIONAL DE TUMBES POSTOR:PUÑO ROJAS LUIS ALBERTO|08/01/2024|16:32:04|08/01/2024|08/01/2024|19:15:11|APROBADO|533663 Ver...|
609|11627-2023-TCE|533664|Carla Pinedo Prentice|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20380419247Impugnate:20550077133|Entidad:MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO Impugnate:CONSORCIO: NET7 PERÚ S.A.C. y SISTEMAS EMPRESARIALES COMPUTARIZADOS S.A.|08/01/2024|16:38:21|08/01/2024|08/01/2024|19:41:26|APROBADO|533664 Ver...|
610|03070-2018-TCE|533665|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:12452,20600927818POSTOR:20502455606|Entidad:PROCURADURÍA PÚBLICA DEL MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES POSTOR:ALPACA COLOR S.A.C (LOPEZ RIOS LUIS ALFONSO)|08/01/2024|16:39:22|08/01/2024|09/01/2024|12:01:28|APROBADO|533665 Ver...|
611|00154-2021-TCE|533666|Diego Martin Romero Ludena|Resolución|Entidad:20172446800POSTOR:10086163662|Entidad:MUNICIPALIDAD PROVINCIAL DE SAN PABLO POSTOR:ESPINOZA RODAS GUILLERMO|08/01/2024|16:49:21|08/01/2024|08/01/2024|16:51:32|APROBADO|533666 Ver...|
612|11360-2023-TCE|533667|Carla Pinedo Prentice|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20147421070Impugnate:20609360152|Entidad:MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI Impugnate:CONSORCIO SICUANI, conformado por la empresa DISTRIBUCIONES E IMPORT DYLANTOOLS SOCIEDAD ANONIMA CERRADA y el señor HUMP|08/01/2024|16:51:51|08/01/2024|08/01/2024|19:41:08|APROBADO|533667 Ver...|
613|06530-2022-TCE|533668|Carla Pinedo Prentice|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20489250731POSTOR:10239167271,20545865158|Entidad:GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL POSTOR:MIRANDA FARFAN SAMUEL,YIP INGENIEROS CONSULTORES S.A.C.|08/01/2024|16:59:55|08/01/2024|08/01/2024|19:40:54|APROBADO|533668 Ver...|
614|00148-2019-TCE|533669|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:20514347221POSTOR:11111111111,20352374963,20393281279,20482749608|Entidad:PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA UE 108 - PRONIED POSTOR:CONSTRUCTORA EL HALCON S.A.C.,COMECO S.R.LTADA,CONSTRUCTORA EL HALCON S.A.C.,CONSTRUCTORA E INVERSIONES SAN JUAN BAUTISTA S.A.C.|08/01/2024|17:12:35|08/01/2024|||RECHAZADO|533669 Ver...|
615|02193-2019-TCE|533670|Alessandra Anthuanette Jaramillo Rojas|Sobrecártese|Entidad:000024POSTOR:20100017491|Entidad:MINISTERIO DE TRANSPORTES Y COMUNICACIONES POSTOR:TELEFONICA DEL PERU SAA|08/01/2024|17:18:48|08/01/2024|09/01/2024|12:00:40|APROBADO|533670 Ver...|
616|03087-2021-TCE|533671|Diego Martin Romero Ludena|Resolución|Entidad:20489252270POSTOR:20573087888|Entidad:GOBIERNO REGIONAL DE PASCO SEDE CENTRAL POSTOR:LA MAR SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|08/01/2024|17:24:19|08/01/2024|08/01/2024|17:24:36|APROBADO|533671 Ver...|
617|07706-2022-TCE|533672|Roberto Cotrina Llamocca|Resolución|Entidad:20131380951POSTOR:10465090095|Entidad:MUNICIPALIDAD METROPOLITANA DE LIMA POSTOR:VILLANUEVA RODRIGUEZ KRISTIE STEPHANIE|08/01/2024|17:31:06|08/01/2024|08/01/2024|17:31:26|APROBADO|533672 Ver...|
618|00465-2020-TCE|533673|Diego Martin Romero Ludena|Resolución|Entidad:20223149635POSTOR:10489452753|Entidad:HOSPITAL REGIONAL DOCENTE DE TRUJILLO POSTOR:SUMARAN SALAZAR CARLOS FIDEL|08/01/2024|17:33:07|08/01/2024|08/01/2024|17:33:29|APROBADO|533673 Ver...|
619|07813-2022-TCE|533674|Roberto Cotrina Llamocca|Resolución|Entidad:20131380951POSTOR:20601103100|Entidad:MUNICIPALIDAD METROPOLITANA DE LIMA POSTOR:GRUPO KUYMI S.A.C.|08/01/2024|17:37:45|08/01/2024|08/01/2024|17:39:04|APROBADO|533674 Ver...|
620|04009-2019-TCE|533675|Edgard Enrique Cabezas Davila|Resolución|Entidad:20484003883POSTOR:20549814817|Entidad:GOBIERNO REGIONAL DE TUMBES Sede Central POSTOR:INTERMIX S.A.C.|08/01/2024|19:18:16|08/01/2024|08/01/2024|19:19:51|APROBADO|533675 Ver...|
621|02351-2022-TCE|533676|Edgard Enrique Cabezas Davila|Resolución|Entidad:20448626114POSTOR:20608171721|Entidad:CORTE SUPERIOR DE JUSTICIA DE PUNO POSTOR:SUMINISTROS INGERNET SOLUTIONS S.R.L.|08/01/2024|19:23:32|08/01/2024|08/01/2024|19:25:15|APROBADO|533676 Ver...|
622|00157-2023-TCE|533677|Edgard Enrique Cabezas Davila|Resolución|Entidad:20477906461POSTOR:20509801038|Entidad:AUTORIDAD NACIONAL DEL SERVICIO CIVIL POSTOR:GACETA COMERCIAL SOCIEDAD ANONIMA-GACETA COMERCIAL S.A.|08/01/2024|19:28:07|08/01/2024|08/01/2024|19:29:56|APROBADO|533677 Ver...|
623|00151-2023-TCE|533678|Edgard Enrique Cabezas Davila|Resolución|Entidad:20477906461POSTOR:20509801038|Entidad:AUTORIDAD NACIONAL DEL SERVICIO CIVIL POSTOR:GACETA COMERCIAL SOCIEDAD ANONIMA-GACETA COMERCIAL S.A.|08/01/2024|19:32:48|08/01/2024|08/01/2024|19:34:45|APROBADO|533678 Ver...|
624|11249-2023-TCE|533679|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131369124Impugnate:20492213552|Entidad:EJERCITO PERUANO Impugnate:LIFE SOCIEDAD ANONIMA CERRADA|08/01/2024|20:30:30|08/01/2024|08/01/2024|20:32:24|APROBADO|533679 Ver...|
625|05220-2019-TCE|533680|Edgard Enrique Cabezas Davila|Resolución|Entidad:20527141762POSTOR:20527420726,20527973229|Entidad:GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL POSTOR:DANIEL PACHECO SILVA E.I.R.L.,AGUILAR CONTRATISTAS GENERALES EMPRESA IDIVIDUAL DE RESPONSABILIDAD LIMITADA|08/01/2024|21:04:57|08/01/2024|08/01/2024|21:07:21|APROBADO|533680 Ver...|
626|11154-2023-TCE|533681|Edgard Enrique Cabezas Davila|Resolución|Entidad:20116544289Impugnate:20507852549|Entidad:EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ELECTRICIDAD ELECTRO SUR ESTE S.A.A. Impugnate:SODEXO PASS PERU S.A.C.|08/01/2024|21:10:20|08/01/2024|08/01/2024|21:11:51|APROBADO|533681 Ver...|
627|11162-2023-TCE|533682|Edgard Enrique Cabezas Davila|Resolución|Entidad:20213928989Impugnate:20534013923|Entidad:MUNICIPALIDAD DISTRITAL DE YANAMA Impugnate:CONSORCIO CONSULTORIA VIAL YANAMA, conformado por las empresas CORPORACIÓN ARIES MINERIA Y CONSTRUCCIÓN S.A.C. y el seño|08/01/2024|21:41:52|08/01/2024|08/01/2024|21:44:01|APROBADO|533682 Ver...|
628|09892-2023-TCE|533683|Isabel Alejandra Melgar Romani|Sobrecártese|Entidad:20131369558Impugnate:10220944846|Entidad:MUNICIPALIDAD PROVINCIAL DEL CALLAO Impugnate:CONSORCIO SARATEX, conformado por la señora ROSA ANGELICA SARASI VEGA y el señor MICHAEL JESUS URQUIA FLORES|09/01/2024|08:26:09|09/01/2024|09/01/2024|18:53:56|APROBADO|533683 Ver...|
629|11660-2023-TCE|533684|Karina Patricia Asencios Arenas|Sobrecártese|Entidad:20146045881Impugnate:20544150104|Entidad:GOBIERNO REGIONAL DE HUANUCO - DIRECCIÓN REGIONAL DE SALUD - HUANUCO Impugnate:MEDICAL ISVIL S.A.C.|09/01/2024|08:49:08|09/01/2024|09/01/2024|09:17:51|APROBADO|533684 Ver...|
630|11362-2023-TCE|533685|Dina Araceli Nohua Chaparro|Sobrecártese|Entidad:20187346488Impugnate:20602639534|Entidad:MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR Impugnate:TRIADA FOODS S.A.C.|09/01/2024|08:50:15|09/01/2024|09/01/2024|19:14:17|APROBADO|533685 Ver...|
631|11150-2023-TCE|533686|Dina Araceli Nohua Chaparro|Sobrecártese|Entidad:20193046551Impugnate:20398613563|Entidad:MUNICIPALIDAD PROVINCIAL DE HUARI Impugnate:CONSTRUCTORA JHR S.R.LTDA|09/01/2024|08:53:13|09/01/2024|09/01/2024|19:14:28|APROBADO|533686 Ver...|
631|11150-2023-TCE|533686|Dina Araceli Nohua Chaparro|Sobrecártese|Entidad:20193046551Impugnate:20398613563|Entidad:MUNICIPALIDAD PROVINCIAL DE HUARI Impugnate:CONSTRUCTORA JHR S.R.LTDA|09/01/2024|08:53:13|09/01/2024|09/01/2024|19:14:28|APROBADO|533686 Ver...|
632|05200-2019-TCE|533687|Luz Carolina Santillan Collantes|Inicio del procedimiento sancionador|Entidad:20174738085POSTOR:10464476267|Entidad:MUNICIPALIDAD DISTRITAL DE VICTOR LARCO HERRERA POSTOR:BACILIO HERNANDEZ LUIS MIGUEL|09/01/2024|09:17:45|09/01/2024|11/01/2024|16:23:43|APROBADO|533687 Ver...|
633|11658-2023-TCE|533688|Diego Rodolfo Salinas Lazo|Sobrecártese|Entidad:20160927896Impugnate:10094504959|Entidad:MUNICIPALIDAD DISTRITAL DE CHURUBAMBA Impugnate:ESPINOZA ESPINOZA MARCO BELGRANO|09/01/2024|09:23:58|09/01/2024|09/01/2024|09:50:59|APROBADO|533688 Ver...|
634|05081-2019-TCE|533689|Luz Carolina Santillan Collantes|Inicio del procedimiento sancionador|Entidad:20514964778POSTOR:10329107529,20541600621|Entidad:INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS POSTOR:PINEDO VARGAS JESUS MANUEL,CORPORACION FEKER S.A.C.|09/01/2024|09:33:54|09/01/2024|11/01/2024|16:23:58|APROBADO|533689 Ver...|
635|07496-2022-TCE|533690|Ania Melgar Salazar|Sobrecártese|Entidad:20100004675POSTOR:20601022886|Entidad:CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC POSTOR:SERVICIOS JURIDICOS S.A.C.|09/01/2024|09:43:18|09/01/2024|19/01/2024|09:15:37|APROBADO|533690 Ver...|
636|07610-2022-TCE|533691|Diego Rodolfo Salinas Lazo|Sobrecártese|Entidad:20508650451POSTOR:20606209861,99000034491|Entidad:IAFAS DEL EJERCITO DEL PERU (FOSPEME) POSTOR:CONSORCIO EL MILAGRO: WADDU TRADING SAC,CONSORCIO EL MILAGRO: LEVANTINA INGENIERIA Y CONSTRUCCION S.L.|09/01/2024|09:50:29|09/01/2024|09/01/2024|10:13:15|APROBADO|533691 Ver...|
637|05087-2019-TCE|533692|Luz Carolina Santillan Collantes|Tómese conocimiento|Entidad:20223019936POSTOR:20444831228|Entidad:MUNICIPALIDAD DISTRITAL DE ACO POSTOR:FERRETERIA LUMICENTRO PIANTO SRL|09/01/2024|09:50:41|09/01/2024|11/01/2024|16:24:10|APROBADO|533692 Ver...|
638|08193-2022-TCE|533693|Luz Carolina Santillan Collantes|Remisión a sala - Descargos|Entidad:20100128218POSTOR:20422915100|Entidad:PETROLEOS DEL PERU S.A. POSTOR:EDITORIAL PACASMAYO S.A.C.|09/01/2024|09:58:25|09/01/2024|11/01/2024|16:24:36|APROBADO|533693 Ver...|
639|09432-2022-TCE|533694|Karmen Giuliana Bustamante Barreto|Dejese sin efecto la remisión a sala|Entidad:20148182788POSTOR:20602863124|Entidad:MUNICIPALIDAD PROVINCIAL DE ABANCAY POSTOR:CONSULTORES Y CONSTRUCTORES FAEDU S.A.C.|09/01/2024|10:06:15|09/01/2024|09/01/2024|15:26:30|APROBADO|533694 Ver...|
640|11215-2023-TCE|533695|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20141897935Impugnate:20481456712|Entidad:MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO Impugnate:GENESIS CONTRATISTAS GENERALES S.A.C.|09/01/2024|10:10:50|09/01/2024|09/01/2024|15:26:39|APROBADO|533695 Ver...|
641|11667-2023-TCE|533696|Karmen Giuliana Bustamante Barreto|Requerimiento y reiteración de inform.adicional a las partes|Entidad:20494642078Impugnate:20600500440|Entidad:GOBIERNO REGIONAL DE AYACUCHO - PROGRAMA REGIONAL DE IRRIGACION Y DESARROLLO RURAL INTEGRADO Impugnate:CONSORCIO GOD AWAITS, conformado por la empresa L&S GOD AWAITS S.A.C. y la señora BEATRIZ HUANCA YANA|09/01/2024|10:16:30|09/01/2024|09/01/2024|15:26:48|APROBADO|533696 Ver...|
642|11220-2023-TCE|533697|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131257750Impugnate:20501887286|Entidad:SEGURO SOCIAL DE SALUD Impugnate:DIAGNOSTICA PERUANA S.A.C.|09/01/2024|10:21:27|09/01/2024|09/01/2024|15:26:53|APROBADO|533697 Ver...|
643|11392-2023-TCE|533698|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131257750Impugnate:20101260373|Entidad:SEGURO SOCIAL DE SALUD Impugnate:TECNOFARMA S A|09/01/2024|10:24:12|09/01/2024|09/01/2024|15:26:35|APROBADO|533698 Ver...|
644|04764-2019-TCE|533699|Luz Carolina Santillan Collantes|Previamente|Entidad:20381159281POSTOR:20263373058|Entidad:INPE - OFICINA GENERAL DE INFRAESTRUCTURA POSTOR:INSTITUTO DE CONSULTORIA S.A.|09/01/2024|10:25:12|09/01/2024|11/01/2024|18:17:45|APROBADO|533699 Ver...|
645|11392-2023-TCE|533700|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131257750Impugnate:20101260373|Entidad:SEGURO SOCIAL DE SALUD Impugnate:TECNOFARMA S A|09/01/2024|10:26:32|09/01/2024|09/01/2024|15:26:23|APROBADO|533700 Ver...|
646|00404-2021-TCE|533701|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20393066386POSTOR:20393937352|Entidad:GOBIERNO REGIONAL DE UCAYALI - DIRECCION DE SALUD N°3 ATALAYA POSTOR:MULTISERVICIOS ROSANITA S.A.C.|09/01/2024|11:27:14|09/01/2024|10/01/2024|09:17:00|APROBADO|533701 Ver...|
647|01537-2020-TCE|533702|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20179249589POSTOR:20561174742|Entidad:MUNICIPALIDAD DISTRITAL DE PULAN POSTOR:CORPORACION EL CRUCEÑO SAC|09/01/2024|11:30:09|09/01/2024|10/01/2024|09:17:17|APROBADO|533702 Ver...|
648|02434-2020-TCE|533703|Debora Dafne Basurco Chavez|Remisión a sala - Apercibimiento|Entidad:20184482208POSTOR:10292064263|Entidad:MUNICIPALIDAD DISTRITAL DE ISLAY POSTOR:BENAVENTE PAREDES YOVANY JESUS|09/01/2024|11:34:43|09/01/2024|10/01/2024|09:17:33|APROBADO|533703 Ver...|
649|11925-2023-TCE|533704|Debora Dafne Basurco Chavez|Previamente|Entidad:20295613620POSTOR:10724539781|Entidad:REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL - RENIEC POSTOR:HOLGUIN GUERRERO JULIO RUBEN|09/01/2024|11:40:05|09/01/2024|09/01/2024|19:01:18|APROBADO|533704 Ver...|
650|11485-2023-TCE|533705|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20131366290Impugnate:20539556909|Entidad:MUNICIPALIDAD DISTRITAL DE JESUS MARIA Impugnate:CONSORCIO OBRATEC, conformado por las empresas OBRA Y TÉCNOLOGÍA - OBRATEC E.I.R.L. y GRUPO INGESER S.R.L.|09/01/2024|11:41:21|09/01/2024|09/01/2024|15:26:18|APROBADO|533705 Ver...|
651|11166-2023-TCE|533706|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20131257750Impugnate:20108629909|Entidad:SEGURO SOCIAL DE SALUD Impugnate:CARDIO PERFUSION E.I.R.LTDA|09/01/2024|11:46:27|09/01/2024|09/01/2024|15:26:13|APROBADO|533706 Ver...|
652|11167-2023-TCE|533707|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20131257750Impugnate:20108629909|Entidad:SEGURO SOCIAL DE SALUD Impugnate:CARDIO PERFUSION E.I.R.LTDA|09/01/2024|11:48:33|09/01/2024|09/01/2024|15:26:09|APROBADO|533707 Ver...|
653|11926-2023-TCE|533708|Debora Dafne Basurco Chavez|Previamente|Entidad:20295613620POSTOR:10724539781|Entidad:REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL - RENIEC POSTOR:HOLGUIN GUERRERO JULIO RUBEN|09/01/2024|11:49:35|09/01/2024|09/01/2024|19:02:58|APROBADO|533708 Ver...|
654|11176-2023-TCE|533709|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20131257750Impugnate:20563794101|Entidad:SEGURO SOCIAL DE SALUD Impugnate:ENDOMED TECNOLOGHIES S.A.C.|09/01/2024|11:50:37|09/01/2024|09/01/2024|15:26:04|APROBADO|533709 Ver...|
655|00041-2024-TCE|533710|Lita Tumi Carpio|Admitido - Pase a Sala|Entidad:20324454030Impugnate:20525439161|Entidad:MUNICIPALIDAD DISTRITAL DE CANOAS DE PUNTA SAL Impugnate:CONPROVI S.R.L.|09/01/2024|11:53:15|09/01/2024|09/01/2024|17:10:59|APROBADO|533710 Ver...|
656|11803-2023-TCE|533711|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20282911915Impugnate:20538875032|Entidad:MUNICIPALIDAD DISTRITAL DE NUEVO CHIMBOTE Impugnate:CONSORCIO LA MARINA, conformado por las empresas CQL. CONSTRUCCIONES E.I.R.L. y GEOMART E.I.R.L.|09/01/2024|11:59:45|09/01/2024|09/01/2024|15:25:59|APROBADO|533711 Ver...|
657|11905-2023-TCE|533712|Lita Tumi Carpio|Remisión a sala|Entidad:20552196725Impugnate:20538597121|Entidad:INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA Impugnate:DRAEGER PERU S.A.C.|09/01/2024|12:03:16|09/01/2024|09/01/2024|17:51:17|APROBADO|533712 Ver...|
658|01319-2020-TCE|533713|Judith Erika Soto Pelayo|Inicio del procedimiento sancionador|Entidad:20153408191POSTOR:15378056966|Entidad:Dirección General de Capitanías y Guardacostas del Perú POSTOR:REYES MELENDEZ FIDEL EDUARDO|09/01/2024|12:16:39|09/01/2024|10/01/2024|10:54:49|APROBADO|533713 Ver...|
659|11905-2023-TCE|533714|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20552196725Impugnate:20538597121|Entidad:INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA Impugnate:DRAEGER PERU S.A.C.|09/01/2024|12:17:03|09/01/2024|09/01/2024|17:51:10|APROBADO|533714 Ver...|
660|11908-2023-TCE|533715|Lita Tumi Carpio|Remisión a sala|Entidad:20148309109Impugnate:10408043056|Entidad:UNIVERSIDAD NACIONAL DEL SANTA Impugnate:JULCA CHACON JOHN FRANCIS|09/01/2024|12:24:32|09/01/2024|09/01/2024|17:51:37|APROBADO|533715 Ver...|
661|01314-2020-TCE|533716|Judith Erika Soto Pelayo|Inicio del procedimiento sancionador|Entidad:20153408191POSTOR:15378056966|Entidad:DIRECCIÓN DE CAPITANÍAS Y GUARDACOSTAS DE LA MARINA DE GUERRA DEL PERÚ POSTOR:REYES MELENDEZ FIDEL EDUARDO|09/01/2024|12:26:51|09/01/2024|10/01/2024|10:58:31|APROBADO|533716 Ver...|
